OCCURRED ON,UCR CRIME CATEGORY,PREMISE TYPE
01/03/2024 1:00,LARCENY-THEFT,FENCED COMMERCIAL YARD
01/03/2024 1:00,LARCENY-THEFT,DRIVEWAY
01/03/2024 1:00,MOTOR VEHICLE THEFT,APARTMENT
01/03/2024 1:09,AGGRAVATED ASSAULT,GAS / SERVICE STATION
01/03/2024 2:00,LARCENY-THEFT,APARTMENT
01/03/2024 2:00,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/03/2024 2:24,DRUG OFFENSE,OTHER
01/03/2024 3:02,LARCENY-THEFT,DRIVEWAY
01/03/2024 3:44,MOTOR VEHICLE THEFT,SINGLE FAMILY HOUSE
01/03/2024 3:49,BURGLARY,SPECIALTY STORE
01/03/2024 3:50,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/03/2024 3:56,AGGRAVATED ASSAULT,APARTMENT
01/03/2024 4:00,LARCENY-THEFT,PARK / PLAYGROUND
01/03/2024 4:57,AGGRAVATED ASSAULT,VEHICLE
01/03/2024 20:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/03/2024 20:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/03/2024 20:15,MOTOR VEHICLE THEFT,DRIVEWAY
01/03/2024 20:20,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2024 20:25,AGGRAVATED ASSAULT,APARTMENT
01/03/2024 20:29,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2024 20:30,MOTOR VEHICLE THEFT,APARTMENT
01/03/2024 20:31,LARCENY-THEFT,GROCERY / SUPER MARKET
01/03/2024 20:40,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/03/2024 20:56,MOTOR VEHICLE THEFT,STREET / ROADWAY / SIDEWALK
01/03/2024 21:00,RAPE,ALLEY
01/03/2024 21:00,LARCENY-THEFT,APARTMENT
01/03/2024 21:10,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/03/2024 21:15,LARCENY-THEFT,AIRPORT
01/03/2024 21:25,LARCENY-THEFT,STREET / ROADWAY / SIDEWALK
01/03/2024 21:30,LARCENY-THEFT,OTHER
01/03/2024 21:50,LARCENY-THEFT,WAREHOUSE / FACTORY
01/03/2024 22:00,LARCENY-THEFT,MOBILE HOME
01/03/2024 22:00,MOTOR VEHICLE THEFT,APARTMENT
01/03/2024 22:28,BURGLARY,GARAGE
01/03/2024 22:30,ROBBERY,STREET / ROADWAY / SIDEWALK
01/03/2024 23:00,MOTOR VEHICLE THEFT,APARTMENT
01/03/2024 23:00,LARCENY-THEFT,VEHICLE
01/03/2024 23:00,LARCENY-THEFT,PARKING LOT
01/04/2024 0:00,BURGLARY,APARTMENT
01/04/2024 0:00,DRUG OFFENSE,GAS / SERVICE STATION
01/04/2024 0:00,LARCENY-THEFT,APARTMENT
01/04/2024 0:00,LARCENY-THEFT,VEHICLE
01/04/2024 0:00,LARCENY-THEFT,OTHER
