OCCURRED NIGHT,UCR CRIME CATEGORY NIGHT,PREMISE TYPE NIGHT,OCCURRED DAY,UCR CRIME CATEGORY DAY,PREMISE TYPE DAY
01/02/2024 0:00,BURGLARY,STOREROOM/SHED (COMMERCIAL),01/02/2023 14:30,LARCENY-THEFT,RETAIL BUSINESS
01/02/2024 0:00,DRUG OFFENSE,VEHICLE,01/02/2023 14:32,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:00,LARCENY-THEFT,OTHER,01/02/2023 14:33,DRUG OFFENSE,HOSPITAL
01/02/2024 0:00,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/02/2023 15:00,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/02/2024 0:00,LARCENY-THEFT,WAREHOUSE / FACTORY,01/02/2023 15:00,LARCENY-THEFT,DRIVEWAY
01/02/2024 0:00,LARCENY-THEFT,PARKING LOT,01/02/2023 15:00,LARCENY-THEFT,GROCERY / SUPER MARKET
01/02/2024 0:00,BURGLARY,SINGLE FAMILY HOUSE,01/02/2023 15:00,MOTOR VEHICLE THEFT,DRIVEWAY
01/02/2024 0:00,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/02/2023 15:10,AGGRAVATED ASSAULT,APARTMENT
01/02/2024 0:00,DRUG OFFENSE,BUS STOP,01/02/2023 15:23,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:13,ARSON,,01/02/2023 15:30,BURGLARY,APARTMENT
01/02/2024 0:24,AGGRAVATED ASSAULT,STREET / ROADWAY / SIDEWALK,01/02/2023 15:40,LARCENY-THEFT,SPECIALTY STORE
01/02/2024 0:31,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK,01/02/2023 15:45,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:41,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/02/2023 15:46,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:51,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/02/2023 15:46,DRUG OFFENSE,DEPARTMENT / DISCOUNT STORE
01/02/2024 0:57,BURGLARY,APARTMENT,01/02/2023 16:00,RAPE,APARTMENT
01/02/2024 1:00,BURGLARY,GARAGE,01/02/2023 16:00,BURGLARY,SINGLE FAMILY HOUSE
01/02/2024 1:00,LARCENY-THEFT,CONDO / TOWNHOUSE,01/02/2023 16:09,LARCENY-THEFT,OTHER
01/02/2024 1:48,LARCENY-THEFT,FENCED COMMERCIAL YARD,01/02/2023 16:10,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/02/2024 2:04,LARCENY-THEFT,DRIVEWAY,01/02/2023 16:30,MOTOR VEHICLE THEFT,APARTMENT
01/02/2024 2:10,LARCENY-THEFT,APARTMENT,01/02/2023 16:41,BURGLARY,SINGLE FAMILY HOUSE
01/02/2024 2:30,LARCENY-THEFT,SHOPPING MALL,01/02/2023 16:50,DRUG OFFENSE,BUS STOP
01/02/2024 3:00,BURGLARY,FAST FOOD STORE,01/03/2023 8:20,LARCENY-THEFT,DRUG STORE
01/02/2024 3:00,RAPE,SINGLE FAMILY HOUSE,01/03/2023 8:30,LARCENY-THEFT,CONVENIENCE MARKET / STORE
01/02/2024 3:20,LARCENY-THEFT,VEHICLE,01/03/2023 8:50,LARCENY-THEFT,DRUG STORE
01/02/2024 3:25,LARCENY-THEFT,DRIVEWAY,01/03/2023 9:00,BURGLARY,SINGLE FAMILY HOUSE
01/02/2024 4:00,LARCENY-THEFT,PARKING LOT,01/03/2023 9:25,DRUG OFFENSE,SINGLE FAMILY HOUSE
01/02/2024 4:38,ARSON,STREET / ROADWAY / SIDEWALK,01/03/2023 9:52,DRUG OFFENSE,STREET / ROADWAY / SIDEWALK
01/02/2024 20:00,RAPE,VEHICLE,01/03/2023 10:17,DRUG OFFENSE,VEHICLE
01/02/2024 20:00,MOTOR VEHICLE THEFT,APARTMENT,01/03/2023 10:18,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/02/2024 20:00,AGGRAVATED ASSAULT,APARTMENT,01/03/2023 10:24,AGGRAVATED ASSAULT,FAST FOOD STORE
01/02/2024 20:00,RAPE,APARTMENT,01/03/2023 10:30,MOTOR VEHICLE THEFT,OFFICE / COMMERCIAL BUILDING
01/02/2024 20:15,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/03/2023 10:36,LARCENY-THEFT,APARTMENT
01/02/2024 20:35,LARCENY-THEFT,CONSTRUCTION SITE,01/03/2023 10:38,AGGRAVATED ASSAULT,ALLEY
01/02/2024 20:44,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/03/2023 10:51,LARCENY-THEFT,SINGLE FAMILY HOUSE
01/02/2024 20:50,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE,01/03/2023 11:00,LARCENY-THEFT,OFFICE / COMMERCIAL BUILDING
01/02/2024 20:54,LARCENY-THEFT,CONVENIENCE MARKET / STORE,01/03/2023 11:00,AGGRAVATED ASSAULT,PARK / PLAYGROUND
01/02/2024 21:00,MOTOR VEHICLE THEFT,APARTMENT,01/03/2023 11:32,LARCENY-THEFT,DEPARTMENT / DISCOUNT STORE
01/02/2024 21:00,LARCENY-THEFT,APARTMENT,01/03/2023 11:41,DRUG OFFENSE,VEHICLE
